frame,period,game_minute,game_second,shooter_id,shooter_team,player_x,player_y,ball_speed_mps,ball_acceleration,ball_path
42152,2,53,37,9202,Manchester City,-46.3595462981,2.86508972304,19.32714250939172,-11.232554238244106,"[[-44.3708105656, 2.91587047151], [-45.9052642018, 1.78186795401], [-47.3642212228, 0.918099712249], [-48.7833707376, 0.188676796838], [-50.1627127461, -0.406400792225]]"
46996,2,61,41,8856,Manchester City,-28.9871955145,-24.8187278566,19.512575449780634,-7.97072030771492,"[[-28.4544724662, -25.1862705451], [-29.6948739039, -23.8335907333], [-30.8838111055, -22.4316109097], [-32.0043387255, -20.9839361743], [-33.0564567639, -19.4905665272], [-33.9667074606, -18.2462533754], [-34.7853453173, -16.9899406031], [-35.512962087, -15.8019105533], [-36.2745788046, -14.486580674], [-36.961925702, -13.245235022], [-37.6266880868, -11.9868406635], [-38.2247249681, -10.7672608283], [-38.7480690646, -9.63312786249], [-39.2069214675, -8.55409333623], [-39.6012821769, -7.53015724955], [-39.7332207936, -6.90540089906]]"
49629,2,66,5,1302,Manchester City,-28.9325034732,-33.9699350993,15.855346310595737,61.42755836707829,"[[-29.916685534, -32.3108230048], [-31.001967528, -30.3973112953], [-31.5720206689, -28.6261591598], [-32.0828630746, -27.0290224433], [-31.9800529069, -26.3737726378], [-32.0956945006, -25.427135162], [-32.1232390108, -24.6315860985], [-32.152678958, -23.8840846463], [-32.2894403475, -23.0758833169], [-32.3225905889, -22.508752951], [-32.3237921928, -22.0695538596], [-32.2930451592, -21.7582860428], [-32.2590486045, -21.5967896666], [-32.1605441936, -21.5627589481], [-32.1716322094, -21.3610182032], [-32.1224405783, -21.2594384304]]"
53255,2,72,7,11672,Manchester City,-35.9124635969,-20.4136056446,13.974791422121108,44.73867361883739,"[[-36.7446264015, -18.8723262783], [-37.233408389, -17.3105448619], [-37.6819538502, -15.4900003732], [-38.1986975089, -13.6352845325], [-38.7231126028, -11.6803276355], [-39.255199132, -9.6251296821], [-39.746289786, -7.79737480425], [-40.1430122449, -6.01062441123], [-40.4553479632, -4.36241865305], [-40.7480875037, -2.75370621235], [-40.9829385369, -1.27273313775], [-41.2134650053, 0.1346005998], [-41.4059931494, 1.43347326219], [-41.5326747205, 2.60131694125], [-41.6127070843, 3.65832078463], [-41.6460902409, 4.60448479236]]"
57252,2,78,47,11589,Liverpool Football Club,8.27436252186,-5.69557664981,12.340703753206844,11.465142266426085,"[[9.6867786762, -5.69822293018], [11.055330459, -5.466467394], [12.2912273702, -5.59213192657], [13.301713219, -6.04047246638], [14.1228673925, -6.68740210582], [14.8173526861, -7.50660065122], [15.5249650671, -8.18954023648], [16.1806558533, -8.85282278189], [16.7844250447, -9.49644828745], [17.6209371462, -10.1716187677], [18.3238558943, -11.0799105396], [18.9796981994, -12.1563963951], [19.6070164468, -13.2653239895], [20.2747005348, -14.3378662671], [20.8667208402, -15.3326060262], [21.4393574113, -16.1531435652]]"
61364,2,85,38,11589,Liverpool Football Club,13.5898350307,27.5192326137,17.28427980412861,55.47358427790781,"[[14.8599531424, 26.476887115], [16.7418897914, 25.5403002535], [18.7471226117, 24.273946691], [20.8048077115, 22.9789954433], [22.6197410818, 21.8079125477], [24.3122052805, 20.6814645824], [25.8822003076, 19.5996515476], [27.4272171096, 18.6921838252], [28.8336349463, 17.6276849025], [30.2071662839, 16.6722939621], [31.5052001359, 15.7149041416], [32.5180562508, 14.6337607723], [33.3644852256, 13.5845431689], [34.1251402163, 12.6842802202], [34.961596937, 12.000385725], [35.789100792, 11.4733859178]]"
68293,2,97,11,4460,Manchester City,-43.7786756243,-11.800750687,12.67317038621188,29.241664304897697,"[[-45.2377161943, -11.0314844187], [-46.5349737642, -9.79107436504], [-47.9233520984, -8.31930968119], [-49.1599762248, -6.91323728287], [-50.1188933645, -5.63346792543], [-51.1088002464, -4.3230511366], [-52.0262949461, -3.01846717452], [-52.8713774634, -1.71971603921], [-53.4570198063, -0.47580295174], [-53.898881526, 0.55839917661], [-54.0160183233, 1.32764528053], [-54.2018098095, 2.0689150259], [-54.3146445194, 2.68869625074], [-54.3545224529, 3.18698895505]]"
