frame,period,shooter_team,player_x,player_y,ball_speed_mps,accel_mps2,vel_x,vel_y,attacking_goal_x,threat_score,outcome,game_minute,game_second,ball_path
46996,2,Manchester City,-28.9871955145,-24.8187278566,19.512575449780634,14.34121193025865,-14.136000568,13.450430796999981,-52.5,33.57122675374854,Shot,58,33,"[[-28.4544724662, -25.1862705451], [-29.6948739039, -23.8335907333], [-30.8838111055, -22.4316109097], [-32.0043387255, -20.9839361743], [-33.0564567639, -19.4905665272], [-33.9667074606, -18.2462533754], [-34.7853453173, -16.9899406031], [-35.512962087, -15.8019105533], [-36.2745788046, -14.486580674], [-36.961925702, -13.245235022], [-37.6266880868, -11.9868406635], [-38.2247249681, -10.7672608283], [-38.7480690646, -9.63312786249], [-39.2069214675, -8.55409333623], [-39.6012821769, -7.53015724955], [-39.7332207936, -6.90540089906], [-39.7974784937, -6.38200226377], [-39.795394742, -6.01224394344], [-39.7958989595, -5.71641398491], [-39.7956952402, -5.48479715075], [-39.745723338, -5.37601389729], [-39.6319910285, -5.37679432055], [-39.5220251215, -5.36865683431], [-39.3877996991, -5.40327945236], [-39.2293147613, -5.4806621747], [-39.2107896197, -5.44295005815], [-39.2550870021, -5.29065132787], [-39.2388580837, -4.76428255632], [-39.0533730548, -3.83763718615], [-38.6341366783, -2.6133280576], [-38.1426118284, -1.07022642569]]"
48116,2,Liverpool Football Club,33.6193537031,9.90965943109,6.693265316460029,4.832071304020011,6.649324818000011,0.765689272000003,52.5,30.63871830905613,Blocked Shot,60,25,"[[34.4897989618, 10.7084114101], [35.0884527658, 10.7796063794], [35.620166327, 10.8082204541], [36.1086278987, 10.8261802813], [36.5538374808, 10.8334858612], [36.991406554, 10.8542113451], [37.3479163839, 10.8119527803], [37.6039894691, 10.5950744707], [37.8072448722, 10.11915064], [38.0641182163, 9.51086573347], [38.3757898918, 8.76186595944], [38.7094251538, 7.95483849094], [38.9756809533, 7.13965675184], [39.2067837379, 6.2795390732], [39.4027335076, 5.37448545503], [39.3595033689, 4.25582583421], [39.3968736541, 3.26166210577], [39.4009343561, 2.290928279], [39.5620154554, 1.64057871702], [39.813522094, 1.20406998301], [40.1554542719, 0.981402076974]]"
48196,2,Liverpool Football Club,39.425457364,-14.4401532128,6.430433748577899,1.1661534833644094,4.693169861999991,4.395979395000005,52.5,33.318322226253905,Shot,60,33,"[[40.575758136, -14.3279832105], [41.2238157519, -13.924997922], [41.6251468678, -13.7002793192], [41.9588509734, -13.598310761], [42.2249280687, -13.6190922474], [42.199176991, -13.7472086976], [42.1370683787, -13.9774079142], [42.1957320406, -14.0990664823], [42.2628663907, -14.2645252834], [42.3938745603, -14.4404370961], [42.6098534289, -14.5465458796], [42.9057783632, -14.5613642793], [43.1939357587, -14.5235806738], [43.5036622237, -14.4245920068], [43.8349577582, -14.2643982782], [44.1280779137, -14.0887987289], [44.3861152858, -13.9247942068], [44.6765321447, -13.7186578143], [44.9096539877, -13.5202992106], [45.1381268895, -13.3420730453], [45.4259500518, -13.2308316414], [45.6093845489, -13.1946033202], [45.7348039988, -13.1088788324], [45.8079626324, -13.0280621509], [45.8288604499, -12.9521532756], [45.4871705537, -13.009401068], [45.2837606933, -13.0421546733], [45.1279167655, -13.0395966755], [44.9573401427, -13.0304045963], [44.7010960082, -13.0327750512], [44.3433812101, -13.08451532]]"
48362,2,Manchester City,-34.3985506694,-9.16003263564,4.755029462784428,20.58419134791399,-1.1460010199999715,4.614865854399994,-52.5,35.487470929468905,Blocked Shot,60,50,"[[-34.8118077062, -9.06466240463], [-35.119010457, -8.77250846208], [-35.3608113564, -8.79770233448], [-35.4340423067, -8.93841672712], [-35.4778911313, -8.97488549407], [-35.4706795096, -8.86267657814], [-35.2171246368, -8.99229938872], [-34.7869220878, -9.22337317645], [-34.1800718623, -9.55589794135], [-33.9462167897, -9.68134736374], [-33.6673735614, -9.80613634596], [-33.4332295087, -9.88883869127], [-32.9816849431, -10.2521502065], [-32.873297523, -10.1487172913], [-33.2915421709, -9.54127833645], [-34.1841626412, -8.54561030733], [-35.522898954, -7.21775497476], [-37.3386123832, -5.5049510246], [-39.6313029289, -3.40719845687], [-41.1789488166, -2.10017023892], [-43.0083528927, -0.559295536385], [-44.6811787518, 0.79907220939], [-46.4028741399, 2.16380585579], [-48.1188448006, 3.50928390131], [-49.7346000264, 4.74323780469], [-51.3237506589, 5.96434482161], [-52.8963414373, 7.16279497587], [-54.4353671371, 8.32569054636], [-55.9408277583, 9.45303153308]]"
49629,2,Manchester City,-28.9325034732,-33.9699350993,15.855346310595737,46.05867781373712,-7.773109862999981,13.819217404999975,-52.5,37.60062281001474,Shot,62,56,"[[-29.916685534, -32.3108230048], [-31.001967528, -30.3973112953], [-31.5720206689, -28.6261591598], [-32.0828630746, -27.0290224433], [-31.9800529069, -26.3737726378], [-32.0956945006, -25.427135162], [-32.1232390108, -24.6315860985], [-32.152678958, -23.8840846463], [-32.2894403475, -23.0758833169], [-32.3225905889, -22.508752951], [-32.3237921928, -22.0695538596], [-32.2930451592, -21.7582860428], [-32.2590486045, -21.5967896666], [-32.1605441936, -21.5627589481], [-32.1716322094, -21.3610182032], [-32.1224405783, -21.2594384304], [-32.0316561569, -21.1657345847], [-31.8159159026, -21.2393893255], [-31.4777481397, -21.4351516859], [-31.0429688657, -21.7779086215], [-30.4930864943, -22.2730214129], [-29.8281010254, -22.9204900602], [-30.0733451271, -23.592079755], [-30.238358784, -24.4902386164], [-30.475697681, -25.5050711503], [-30.5877421469, -26.5854662486], [-30.6346793062, -27.6562962754], [-30.6423624917, -28.7314728272], [-30.681174899, -29.6705236986], [-30.7149280945, -30.5496356676], [-30.7480938575, -31.3596419137]]"
50336,2,Liverpool Football Club,36.8367939904,5.90214095797,9.084937572986648,24.55982483175136,8.918031254999974,-1.733438559599998,52.5,69.9845126966846,Shot,64,7,"[[37.1734500663, 7.59395348099], [37.8307845004, 7.73121551684], [38.4522922314, 7.98168813969], [38.9443690024, 8.38945080529], [39.3070148135, 8.95450351365], [39.9657268292, 9.43398192719], [40.5371502944, 9.9033269611], [40.9969401462, 10.21054061], [41.4532299722, 10.4429775776], [41.9466558207, 10.816761583], [42.305764701, 10.9740849443], [42.5970368992, 11.0392580027], [42.8204724152, 11.012280758], [43.8450171533, 13.7082972617], [44.2261949647, 14.6844465243], [44.607372776, 15.6605957869], [44.9885505874, 16.6367450494], [45.4532063746, 17.6230807441], [45.8362804367, 18.6066611316], [45.8545464936, 19.5383265953], [45.5724103379, 20.396984945], [44.9919036825, 21.1969845409], [44.1130265273, 21.9383253829], [43.7226613762, 22.5721570438], [43.1215569053, 22.7703158109], [42.5315858581, 23.0052538353], [42.0622213407, 23.3596781594], [41.6965978561, 23.8148797953], [41.3598111004, 24.3286410934]]"
51001,2,Manchester City,-40.3761369614,9.2286414646,4.330801729816288,10.098385471053115,-4.01080266000001,1.633800981000011,-52.5,31.752394120134554,Blocked Shot,65,13,"[[-40.9481436059, 9.43337127202], [-41.2738123242, 9.36342032659], [-41.5596800039, 9.15658534337], [-41.8071801049, 8.89065863822], [-42.0496119915, 8.67828236464], [-42.3107290555, 8.46887513188], [-42.512598912, 8.13543547786], [-42.7086712533, 7.73523297962], [-42.8858087341, 7.25562021689], [-43.0440113544, 6.69659718969], [-43.0280453587, 6.03005740975], [-42.9696063133, 5.23886326561]]"
55854,2,Liverpool Football Club,26.9200259617,-29.4310389927,13.660959875630136,33.779000064262696,-13.593220938999977,1.3587381010000144,52.5,30.625139832724013,Blocked Shot,73,19,"[[26.048843255, -28.1941339943], [24.2880397601, -28.0860551748], [22.394416628, -27.9343070485], [20.5715490906, -27.7512435822], [18.8807324496, -27.5665851722], [17.2732159133, -27.3628885273], [15.7489994818, -27.1401536476], [14.3925810947, -26.7097709205], [13.0538226233, -26.3856790475], [11.7864738535, -25.9328334159], [10.5583178662, -25.5420938819], [9.44325701833, -25.0466723932], [8.34961510046, -24.6046841071], [7.31494736499, -24.1403865212], [6.33811960842, -23.7406836363], [5.41363136862, -23.3759876922], [4.54148264558, -23.046298689], [3.86474728145, -22.730961221], [3.75965360734, -22.2970902194], [4.15037393176, -21.7036204192], [4.90437809111, -21.1002417554], [5.75530703073, -20.5456249686], [6.45044010558, -20.1112262814], [7.1021968995, -19.6482511638], [7.69029333164, -19.1742551672], [8.22305016656, -18.6958175219], [8.70046740428, -18.2129382279], [9.0980355937, -17.8234882503], [9.45280701311, -17.3607107941], [9.78357358362, -16.9668536772], [10.0910319044, -16.7530630527]]"
56097,2,Liverpool Football Club,43.8390363057,19.28949347,4.477082281663423,11.877760458873864,3.8913028599999677,-2.214052350000024,52.5,34.26317186719098,Blocked Shot,73,43,"[[43.8683502288, 19.8719458864], [44.1787005331, 19.7326475908], [44.4099875402, 19.6999110589], [44.56221125, 19.773736291], [44.69409548, 19.4410357197], [44.936563063, 19.3864104596], [45.148781964, 19.2705859636], [45.4246179208, 19.2779046563], [45.5885574157, 19.1279794513], [45.8683715136, 19.1310655674], [46.1914669162, 19.0570043506], [46.5341517069, 18.9095827644], [46.9165633199, 18.7121070948], [47.3387017551, 18.4645773418], [47.6160472609, 18.249846328], [47.9396574286, 18.1118297278], [48.2147432959, 17.8948775892], [48.451163348, 17.6806027963], [48.6316704034, 17.4449055833], [48.8587036306, 17.2778761948], [49.0787498425, 17.1184143485], [49.3283311874, 16.9949159605], [49.5962586659, 16.9006886114], [49.882532278, 16.8357323011], [49.8569440637, 16.7095158531], [49.8364870846, 16.667142879], [49.7587213586, 16.6451630542], [49.6950599054, 16.6318461718], [49.6421299646, 16.5858114864], [49.5867342544, 16.5484925209], [49.5016610056, 16.525803646]]"
57371,2,Liverpool Football Club,40.6197965713,-13.5865053449,10.077238208654391,31.373678140674446,7.997994896999998,6.130481836000001,52.5,81.7598691839464,Shot,75,50,"[[41.672445527, -13.2787170615], [42.315942585, -12.7910090072], [42.7153864212, -12.5292669949], [43.1027005295, -12.2875786178], [43.3828200198, -12.2355758984], [43.4072292969, -12.4747552661], [43.3952015149, -12.6286418438], [43.2135022355, -12.835420495], [42.8997555371, -13.0710176656], [42.4539614197, -13.3354333557], [42.1827063976, -13.568364529], [42.1014426194, -13.5731179559], [42.4892957391, -12.9545411298], [42.9982772792, -12.0644726999], [43.6137610405, -10.9315397905], [44.2659422648, -9.67521254304], [44.8283703715, -8.55190023053], [45.4539897589, -7.4554054882], [46.1173531393, -6.37603579148], [46.8184605127, -5.31379114035], [47.1447538187, -4.36921557715], [47.4145983111, -3.49402798411]]"
57384,2,Liverpool Football Club,43.2132918948,-12.4489341463,10.253214218318194,28.456745953075004,5.089815401000024,8.900684299000012,52.5,79.72281704466597,Blocked Shot,75,52,"[[42.9982772792, -12.0644726999], [43.6137610405, -10.9315397905], [44.2659422648, -9.67521254304], [44.8283703715, -8.55190023053], [45.4539897589, -7.4554054882], [46.1173531393, -6.37603579148], [46.8184605127, -5.31379114035], [47.1447538187, -4.36921557715], [47.4145983111, -3.49402798411]]"
60801,2,Manchester City,-33.7991552807,6.97726905914,16.444969185870622,35.51448581520968,-10.976103776,-12.24590369971579,-52.5,94.19146539565024,Blocked Shot,81,33,"[[-33.4083239032, 6.62449629704], [-34.0915468554, 4.99968093341], [-34.6458920357, 3.17677965245], [-35.3042584207, 1.66793094731], [-35.850862209, 0.048494293071], [-36.9155297587, -0.545210118313], [-38.3169924269, -0.430014224073], [-39.6951360884, -0.274173562681], [-41.2197135016, 0.236102668344], [-42.8907246664, 1.100814469], [-43.7314951143, 0.396340009328], [-44.8473477435, 0.283451581261], [-45.9569437306, 0.202845741451], [-47.0602830758, 0.154522489898]]"
