frame,period,game_minute,game_second,shooter_id,shooter_team,player_x,player_y,ball_path
12294,1,19,44,9202,Manchester City,-15.2353459313,9.82112807319,"[[-14.2091760203, 11.1926972352], [-13.2386729535, 12.6018609761], [-12.0523308407, 14.0074979315], [-10.9487328596, 15.5507337674], [-10.0114146408, 16.9910913664], [-9.17983253141, 18.4325956648], [-8.45398653137, 19.8752466625], [-7.75065993698, 21.0279586061], [-7.14141798407, 22.2592780175], [-6.5732668128, 23.4423139379], [-6.03725275851, 24.3847200592], [-5.52056165176, 24.9989413889], [-5.03138336871, 25.725190784], [-4.57162837597, 26.4533909551], [-4.13960708697, 27.1865956772], [-3.73531950171, 27.9248049503]]"
20246,1,32,59,11537,Liverpool Football Club,-0.904839748428,14.0611234392,"[[-1.66919743766, 13.3691006531], [-2.1961713467, 11.9251217132], [-2.6747180243, 10.6109569072], [-3.16813895148, 9.27181818367], [-3.67643412822, 7.90770554256], [-4.01003702432, 7.04495747185], [-4.36762366105, 5.97184555677], [-4.66837400104, 4.8280342913], [-4.94469402633, 3.71192204017], [-5.21354965463, 2.9338452291], [-5.47478053138, 2.08999136356], [-5.71890246639, 1.47227428888], [-5.7271272887, 1.22567849594], [-5.59499032151, 1.24783862965], [-5.3224915648, 1.53875469003], [-4.61538967752, 1.42699811573]]"
20555,1,33,30,11537,Liverpool Football Club,20.6405907586,24.2046190898,"[[19.8832918787, 26.0298936642], [18.4126003471, 27.0683960633], [16.6287609679, 28.1195144784], [15.016053234, 29.253889664], [13.3765320031, 30.4337271624], [11.7101972751, 31.6590269735], [10.2144949005, 32.1980619633], [8.73560455402, 32.5759718998], [7.65015764344, 33.0581424007], [7.06933030572, 33.6217135174], [6.93345597669, 33.9338103512], [7.1066714424, 34.3321707307], [7.2140096548, 34.0248216973], [7.25662075415, 33.7068770399], [7.27714482635, 33.1647151604], [7.27558187138, 32.3983360587]]"
20773,1,33,52,4460,Manchester City,-5.85466827665,2.9568132673,"[[-4.25166912239, 3.49008844211], [-2.46645216484, 3.7582980852], [-0.395917878907, 4.13533654683], [1.52973758382, 4.42475415492], [3.38903910596, 4.76054644811], [5.0841557415, 5.1307474236], [6.65497412358, 5.53541172758], [8.1014942522, 5.97453936003], [9.43830825043, 6.1399268683], [10.7145331195, 6.43323438489], [11.8606482851, 6.74453529183], [12.7422932055, 7.03507611513], [13.3057699566, 7.14281463345], [13.6221894217, 7.232631081], [13.7639273401, 7.19459538607], [13.9581021531, 7.17853540099]]"
21616,1,35,16,3847,Liverpool Football Club,38.4401728312,-20.7040541513,"[[37.2454534795, -22.1998201571], [35.6170766718, -20.9208387862], [33.8850792988, -19.7278045665], [31.8618035537, -18.5086349332], [29.5472494364, -17.2633298862], [28.0571322563, -16.4724541275], [26.4899521709, -15.5635609472], [25.0557536805, -14.6278162661], [23.7220596749, -13.7161372481], [22.3024678115, -13.0075265009], [20.9892170584, -12.4794621291], [19.9520889776, -12.0832894089], [19.1802259359, -11.8090418269], [18.6517666063, -11.6826295013], [18.3667109888, -11.704052432], [17.9375599301, -11.6399159866]]"
22735,1,37,8,9202,Manchester City,-1.43093033064,12.1918410801,"[[-0.619469392005, 10.4316246257], [-0.198212316684, 8.42432705187], [0.186958983801, 6.36218608471], [0.563822227554, 4.54134034052], [0.944446465707, 2.78893466112], [1.32883169826, 1.10496904652], [1.68622335133, -0.109424364804], [2.0394941822, -1.42883458677], [2.38100559726, -2.67008943937], [2.70217339947, -3.82283124553], [3.008014732, -5.02161745665], [3.28310774811, -6.09808073567], [3.53214107659, -7.06731639149], [3.76101284652, -8.03770124337], [3.96693728935, -8.96566642476], [4.14991440507, -9.85121193565]]"
23319,1,38,7,2934,Manchester City,-44.1042178926,-0.287692897377,"[[-43.2766016317, -1.83643325916], [-43.0806667145, -3.38268816221], [-43.2673739712, -4.78704588751], [-43.0652298975, -6.54975347356], [-42.8998442071, -8.21352529244], [-42.7266560727, -9.85899703177], [-42.6166240397, -11.3771145758], [-42.6270492265, -12.6622114511], [-42.6776437107, -13.8925184749], [-42.6870710642, -14.9057879933], [-42.678316908, -15.7809057874], [-42.6513812419, -16.5178718571], [-42.3401009225, -16.8186239387], [-42.0442146222, -17.1080903742], [-41.7167219756, -17.4701686627], [-41.6065222938, -17.5793104494]]"
25644,1,41,59,11672,Manchester City,-13.6998865037,-24.0776129223,"[[-13.2970746514, -25.163279811], [-12.6262548207, -26.3561776988], [-12.0906872397, -27.5476136918], [-11.6020006346, -28.6743878311], [-11.1601844366, -29.7104087819], [-10.7713830662, -30.6775753343], [-10.4355965234, -31.5758874884], [-10.0940373379, -32.4153681227], [-9.81259452061, -33.1433945204]]"
26322,1,43,7,1302,Manchester City,-19.617592857,-3.88402955873,"[[-18.9946523941, -4.86564720174], [-18.4396260432, -6.5549927345], [-17.8917437875, -8.24638088474], [-17.43379736, -9.80904801283], [-17.0572276183, -11.1816039985], [-16.6901160227, -12.5526891443], [-16.3750422805, -13.8161042478], [-16.1039889271, -14.9893960166], [-15.8769559624, -16.0725644505], [-15.6510856674, -17.1662717168], [-15.4768754947, -18.1190461759], [-15.2975781756, -19.0452760593], [-15.0217333156, -20.0488906294], [-14.9262666316, -20.7753045328], [-15.156659111, -21.1174634772], [-15.7932828031, -20.905254895]]"
28629,1,46,58,2934,Manchester City,-40.0087952387,-12.8638048626,"[[-40.6822863054, -11.6124269135], [-39.712120301, -13.1836001641], [-39.7847975354, -12.8697414895], [-39.999822595, -12.2835960496], [-40.04034961, -12.0264611817], [-40.0559700946, -11.8073243662], [-40.048944616, -11.6227283737], [-40.0128714287, -11.4680217734], [-39.9557705315, -11.3319049087], [-39.8869281821, -11.2159079013], [-39.8020878487, -11.1198053879], [-39.7012495313, -11.0435973684], [-39.7067943755, -10.8534884074], [-39.7150118994, -10.6412838289], [-39.7256456838, -10.4236252648], [-39.7151592886, -10.2389267988]]"
40676,2,51,9,11565,Liverpool Football Club,-39.4131498791,0.243036976882,"[[-39.441079873, 1.64148283481], [-38.9582003784, 3.56875526317], [-38.0661159332, 5.1224916001], [-36.7562623432, 6.6504613078], [-35.0286396086, 8.15266438629], [-33.9904233727, 8.84249226433], [-32.9029103806, 10.0066948771], [-31.9040697751, 11.1161594284], [-31.0075281799, 12.2493066212], [-30.1917380347, 13.3902766377], [-29.3796132141, 14.4981885617], [-28.5894334913, 15.5979791911], [-27.7836030722, 16.6914939728], [-26.9800405416, 17.7788215507], [-26.1787458996, 18.859961925], [-25.4276066677, 19.8197014459]]"
41577,2,52,39,9202,Manchester City,34.7812599909,0.773110721083,"[[32.8330278138, 0.753936975184], [31.9997347737, 1.7251456609], [30.7948746336, 2.15329146227], [29.2184473935, 2.03837437929], [28.2767874709, 2.7409144441], [27.3198487464, 3.43085321303], [26.6699002616, 4.72358914895], [25.9776730477, 5.67067593149], [25.261003839, 6.86806515499], [24.2781975182, 7.51323416863], [23.1443540706, 7.86523502971], [22.0735283712, 8.11727658432], [20.9584372512, 8.12971375612], [19.7990807107, 7.90254654509], [19.0348179892, 8.74733757459], [18.1904387685, 9.01509148869]]"
43679,2,56,10,11565,Liverpool Football Club,-25.6810527075,-5.31915730522,"[[-25.3398370826, -6.72164534939], [-24.6635592055, -8.29344625622], [-24.0304798556, -9.87435755095], [-23.4400910454, -11.342324509], [-22.8983234579, -12.7000622253], [-22.4208028077, -13.9021970811], [-21.9785731468, -15.0683893058], [-21.5639207976, -16.1963669282], [-21.189338326, -17.2523717376], [-20.833160842, -18.2280342854], [-20.5015301951, -19.1350872036], [-20.1944463854, -19.9735304924], [-19.902112964, -20.6848096756], [-19.6327241231, -21.387375422], [-19.3828143863, -22.0352203823]]"
46803,2,61,22,3267,Liverpool Football Club,-9.64634588787,-15.2179237093,"[[-8.1204045827, -14.8750066776], [-6.35397846532, -14.7779050134], [-4.35766017534, -14.5859116701], [-2.31386254766, -14.4699200351], [-0.438774640737, -14.4596615683], [1.3715440564, -14.4244385678], [3.1160629434, -14.4099106429], [4.79478202025, -14.4160777937], [6.49573196842, -13.751976053], [8.18810254008, -13.0767890221], [9.92854468136, -12.2000111954], [11.5338013559, -11.7593111531], [12.9667880232, -11.8114603366], [14.3286031708, -11.9173282202], [15.6110282904, -12.1181874263], [16.9924640945, -11.9444157563]]"
47660,2,62,48,9449,Liverpool Football Club,-4.57464729037,-7.76670526323,"[[-6.2884582035, -8.78719822311], [-5.68252083562, -7.68173040651], [-5.17163322387, -6.74460358277], [-4.58967433539, -6.19057982103], [-4.01651795054, -5.57640459594], [-3.45287868238, -4.83531373357], [-2.88192951324, -4.37587091759], [-2.32490562662, -4.02509675881], [-1.78156540197, -3.7027743572], [-1.2473958249, -3.48628725866], [-0.72239689541, -3.37563546318], [-0.220880362192, -2.63106470908], [0.380399289761, -2.1328408401], [1.13092045072, -1.62706397428], [2.00537391128, -1.16385953267], [2.95725799066, -0.808921731498]]"
47952,2,63,17,851,Liverpool Football Club,-4.57904011863,30.6442930131,"[[-6.23906092714, 31.3818372334], [-4.51577505953, 31.3930974463], [-2.94355112597, 31.5918020215], [-1.50726742506, 31.6910782282], [-0.175279386151, 31.7451802829], [1.05380388703, 31.6514500973], [2.20184584134, 31.7112908612], [3.26122287388, 31.7986282496], [4.23193498465, 31.9134622625], [4.93575680167, 31.8101655816], [5.27012122999, 31.8782232706], [5.30561274812, 31.8867860417], [5.19518876656, 32.0526547362], [5.12288158484, 32.0261571609], [5.09331141303, 32.0232876284], [5.06889812331, 32.0010863163]]"
47953,2,63,17,851,Liverpool Football Club,-4.99571293876,30.7417604356,"[[-4.51577505953, 31.3930974463], [-2.94355112597, 31.5918020215], [-1.50726742506, 31.6910782282], [-0.175279386151, 31.7451802829], [1.05380388703, 31.6514500973], [2.20184584134, 31.7112908612], [3.26122287388, 31.7986282496], [4.23193498465, 31.9134622625], [4.93575680167, 31.8101655816], [5.27012122999, 31.8782232706], [5.30561274812, 31.8867860417], [5.19518876656, 32.0526547362], [5.12288158484, 32.0261571609], [5.09331141303, 32.0232876284], [5.06889812331, 32.0010863163], [5.05295535897, 31.9955276272]]"
48254,2,63,47,1302,Manchester City,29.0742185683,-9.95801249005,"[[27.6954858489, -10.4666444911], [26.1868185636, -10.8205998282], [24.4854145936, -11.1615949411], [22.7933242577, -11.5191721507], [21.2348045376, -11.9889970064], [19.7441732967, -12.5284643536], [18.321430535, -13.1375741922], [16.995281998, -13.5801272231], [15.7839400345, -13.9754403782], [14.671134878, -14.2986892441], [13.6570621268, -14.5787305614], [12.7067798015, -14.9987668609], [11.85767821, -15.372133821], [11.0285397416, -15.8089469314], [10.2311343355, -16.1273514047], [9.4737037999, -16.3858739892]]"
48352,2,63,57,3267,Liverpool Football Club,-38.3625969421,-22.5771184999,"[[-37.7071929042, -21.9682318056], [-37.4472338367, -20.1555482489], [-37.1053175957, -18.4042316993], [-36.7479340896, -16.6868370667], [-36.407551039, -15.0811011716], [-36.0524368554, -13.5802296185], [-35.6424613453, -12.3114075067], [-35.1953248038, -11.2243028645], [-34.711027231, -10.3189156919], [-34.6972076042, -9.52614899007], [-34.8118077062, -9.06466240463], [-35.119010457, -8.77250846208], [-35.3608113564, -8.79770233448], [-35.4340423067, -8.93841672712], [-35.4778911313, -8.97488549407], [-35.4706795096, -8.86267657814]]"
49129,2,65,15,2934,Manchester City,50.7911404201,-7.34346889314,"[[49.4785878806, -7.46913250754], [47.8492036759, -7.65778859534], [45.7779767754, -7.44688666548], [43.8372749264, -7.38965488314], [42.0701520305, -7.29913879879], [40.3486760758, -7.26781676321], [38.8115309356, -7.11891843511], [37.339593475, -6.98612115925], [35.9995504612, -6.8330548477], [34.6534408947, -6.81034310541], [33.3447862381, -6.86555318517], [32.0735864913, -6.99868508697], [31.0563853828, -7.29929581869], [30.7851854963, -7.5690906715], [31.0830961191, -7.88822158532], [31.7858480131, -8.18830759529]]"
51985,2,70,0,1302,Manchester City,12.777693476,-34.5497084118,"[[12.9436919243, -33.3113271528], [12.6021896168, -31.8110242149], [11.8588355041, -30.4473097873], [10.9108864846, -29.7052615331], [9.67215716093, -29.3851423689], [8.14264753302, -29.4869522947], [7.36126529821, -28.7524011598], [6.4010505717, -28.0984565266], [5.45840294696, -27.3881936844], [4.54163585396, -26.7392368908], [3.63366302438, -26.1807310211], [2.7434004367, -25.6065800421], [1.87823381225, -24.99931006], [1.05068107637, -24.5803338747], [0.251930261984, -24.259271953], [-0.518018630918, -24.0361242949]]"
52652,2,71,7,7745,Liverpool Football Club,-43.2032566979,-20.962090356,"[[-43.7355900483, -19.0353951292], [-43.847289924, -16.2382330546], [-43.7752230534, -13.7467194961], [-43.0538157081, -12.1243031688], [-42.8506238298, -10.2919226777], [-43.0716380296, -8.41032082756], [-43.2472352033, -6.86447168821], [-43.5604632306, -5.50755511185], [-44.0113221115, -4.33957109846], [-44.0052663914, -2.97840392144], [-44.3269576805, -1.4135951349], [-44.9158582019, 0.538865360253], [-45.4288069204, 2.38204540737], [-45.8074170565, 4.01898210265], [-46.2023673844, 5.74135924335], [-46.4812416729, 7.31089214287]]"
60033,2,83,25,5821,Manchester City,0.386767275986,-25.5645631154,"[[-0.569955913704, -24.1439337311], [-1.95997589328, -22.7656889173], [-3.71156710525, -21.1771580699], [-5.49644991395, -19.5997594814], [-7.14712092195, -18.0995763635], [-8.75232566648, -16.6582630166], [-10.3130937264, -15.2653666768], [-11.8294251017, -13.920887344], [-13.3672863895, -12.547390442], [-14.7828309643, -11.3948271919], [-16.1052799724, -10.324221784], [-17.2012982593, -9.40841206236], [-18.0341077731, -8.72254353821], [-18.592767969, -8.36623391008], [-19.0109753376, -8.08188432764], [-19.4664612547, -7.83849349377]]"
60535,2,84,15,3267,Liverpool Football Club,-22.5350001199,-5.09171381451,"[[-22.267780131, -3.15420763729], [-21.9370345315, -1.78242048896], [-21.6521130354, -0.178595818731], [-21.437147879, 1.24577338302], [-21.2672102662, 2.62181244981], [-21.1423001969, 3.94952138163], [-21.0175834137, 5.21217774025], [-20.91549939, 6.47459343835], [-20.8197945727, 7.6127909575], [-20.7863199919, 8.69296213466], [-20.7961292258, 9.69804004055], [-20.7942741526, 10.5989180544], [-20.7859248401, 11.4095700394], [-20.7476229812, 12.1948306839], [-20.68659711, 12.9301119865], [-20.6028472264, 13.6154139472]]"
60563,2,84,18,10748,Liverpool Football Club,-18.8582585653,15.6883691606,"[[-18.1376354343, 16.898979024], [-17.1825886536, 17.975487856], [-15.9038448462, 19.1436368333], [-14.5903196866, 20.6597996847], [-13.5024907589, 21.9164510714], [-12.5358969674, 23.2354197061], [-11.68899878, 24.5756234], [-10.9617961969, 25.9370621532], [-10.1814285704, 26.9580215684], [-9.51313491726, 27.9845787604], [-8.88701653303, 28.7534018591], [-8.30053624953, 29.4499605847], [-7.74537721457, 29.899700376], [-7.34259471523, 30.4105548403], [-7.11823015553, 30.9239130804], [-7.00644001625, 31.2687872657]]"
61921,2,86,34,851,Liverpool Football Club,-11.3630938303,2.92471696082,"[[-9.86759665915, 2.10390855091], [-9.36861581343, 0.747740383528], [-8.97465361418, 0.123697990949], [-8.52386770709, -0.882813730924], [-8.06276971977, -1.98817881131], [-7.63511696783, -2.81230341705], [-7.24430164106, -3.35431463421], [-6.83870062472, -3.99692470856], [-6.43736078707, -4.59721346491], [-6.04028212812, -5.15518090325], [-5.5604804818, -6.07261227956], [-5.12891244259, -6.68111122987], [-4.7058425625, -7.205155751], [-4.25171270294, -7.75659355064], [-3.80240930697, -8.40446171281], [-3.4168462777, -8.99545527483]]"
62863,2,88,8,3267,Liverpool Football Club,-34.2274585906,-8.13620527585,"[[-34.0211195865, -8.7483189547], [-33.569403129, -7.43891708038], [-33.5315599764, -6.87613416583], [-33.6165348298, -6.61810833153], [-33.2964431128, -6.38739307434], [-32.7249987498, -6.30078405164], [-31.9161778919, -6.36898481283], [-30.8699805393, -6.5919953579], [-30.1462568054, -6.57257499019], [-29.4218588441, -6.62606967786], [-28.7248829435, -6.6973803113], [-28.0644905756, -6.75875302411], [-27.4685531695, -6.79812824669], [-26.9202497461, -6.81655805552], [-26.4300039927, -6.79379100771], [-25.9473024905, -6.77122900826]]"
63007,2,88,22,3267,Liverpool Football Club,-20.6635920207,-8.08779795965,"[[-20.4258701447, -9.35031008724], [-19.9082594194, -10.7493528211], [-19.2762832794, -12.4448373483], [-18.5299417247, -14.436763669], [-17.909808945, -15.8956364793], [-17.1634476358, -17.6889825992], [-16.4799655984, -19.238838751], [-15.7676164488, -20.7949653416], [-15.1293775982, -22.129315359], [-14.5149135486, -23.3502125584], [-13.9347740681, -24.5227950591], [-13.3508440168, -25.7418985939], [-12.7832302272, -26.947200864], [-12.2319326994, -28.1387018693], [-11.8772184054, -28.8679627633], [-11.6373161886, -29.3487905186]]"
63669,2,89,29,11565,Liverpool Football Club,-46.635227385,-17.2843167441,"[[-47.1729468805, -16.2048682017], [-46.7313665568, -17.9191885922], [-46.9626526012, -18.0336761735], [-47.2182589161, -17.9986555441], [-47.3320457216, -18.150189164], [-47.4512876134, -18.2065179397], [-47.5647888443, -18.2075543263], [-47.6221208637, -18.2044086154], [-47.5859656042, -18.2349086208], [-47.4977298659, -18.2161189877], [-47.3459135302, -18.1761475064], [-47.1305165972, -18.1149941767], [-47.5457976436, -17.4902480911], [-47.5279270545, -16.8606725044], [-47.0240221999, -16.2559843454], [-45.9032269792, -15.8268220869]]"
66723,2,94,34,515,Liverpool Football Club,-7.88941269829,-19.3305344355,"[[-8.92581044207, -18.9970642595], [-8.1836442052, -19.3296704454], [-7.67934328583, -19.7548332193], [-7.43488064717, -19.9385913616], [-7.32046739269, -20.0450223203], [-7.06417586747, -20.162245516], [-6.78731501645, -20.2512476719], [-6.48988483963, -20.312028788], [-5.81362491537, -20.4272914497], [-5.23602725065, -20.4692146822], [-4.68713322555, -20.6468832135], [-4.1499662499, -20.786343312], [-3.58914759812, -20.9661293988], [-3.02816218146, -21.0358461922], [-2.45799109559, -21.134192928], [-1.90771257818, -21.2094321421]]"
