frame,period,shooter_team,player_x,player_y,ball_speed_mps,accel_mps2,vel_x,attacking_goal_x
601,1,Manchester City,41.6062318067,-31.71605334,18.331959700648362,48.72731216526825,-18.318799270000028,52.5
623,1,Manchester City,1.65373948075,-29.3957072667,10.35091004125282,20.057235210544714,-10.258128288099998,52.5
720,1,Liverpool Football Club,-25.984303429,-23.0310695285,19.68911711040565,8.981835439479033,16.12334948400001,-52.5
757,1,Liverpool Football Club,-35.9274043129,-22.4934790475,19.301404539235875,7.551533543199493,-11.051978738999964,-52.5
807,1,Liverpool Football Club,-46.0084321158,0.52878893699,16.043058567722877,3.237998534606336,11.024069714000007,-52.5
865,1,Liverpool Football Club,-27.8295901162,-25.2055284409,15.725982123144316,51.59546925401296,14.685405584000009,-52.5
867,1,Liverpool Football Club,-27.1861500513,-25.7542790004,23.670973378337948,21.077884590822393,22.816001279999973,-52.5
893,1,Liverpool Football Club,-18.6609420776,-26.5816192627,7.956180238629803,20.115556636023424,-7.5100094740000145,-52.5
981,1,Liverpool Football Club,-17.5523585365,-3.7342959018,11.960991118709023,29.842970675759346,-11.198048325999999,-52.5
1004,1,Liverpool Football Club,-26.0834205264,-9.3920110975,12.067583314642386,8.858742243417309,-4.7617255140000125,-52.5
1070,1,Liverpool Football Club,-38.2641167414,-15.0748462223,17.618552674290477,13.597472361839598,-6.385234820000036,-52.5
1218,1,Liverpool Football Club,-29.0561792283,5.69113134203,16.916242203456555,30.168378150605594,-1.213050236000015,-52.5
1219,1,Liverpool Football Club,-29.111741293,5.48607848939,20.070877671420313,21.48948682239518,-2.478195396999965,-52.5
1486,1,Liverpool Football Club,-41.9880714737,-10.5840183582,15.381405106342365,0.24858637664380132,-8.910710724000026,-52.5
1559,1,Liverpool Football Club,-14.2808901923,20.4267609914,13.859313030977102,3.968409186783544,6.428741930000008,-52.5
1576,1,Liverpool Football Club,-8.28332126708,19.0758168357,12.828205176729812,0.4662476037812695,7.586231431999995,-52.5
1594,1,Liverpool Football Club,-1.66136208035,26.6848523276,17.061251993145998,47.9714460710068,16.2243429819,-52.5
2062,1,Liverpool Football Club,-14.2970658711,26.8528461456,2.4818859898053214,21.83876166310401,1.9361135189999956,-52.5
2087,1,Liverpool Football Club,-8.8904351734,31.6422533308,14.09882056885722,33.14327052234462,13.974486383099993,-52.5
2089,1,Liverpool Football Club,-8.21465673901,31.6518016997,18.261666745648377,14.189098616976509,18.244960510900004,-52.5
2115,1,Manchester City,18.0052751814,26.0909337543,19.837478731427463,16.333406877251825,15.268990578000015,52.5
2140,1,Manchester City,31.8605620066,15.1116165434,18.163013880073397,15.850265741055535,-9.245674356000038,52.5
2182,1,Manchester City,26.4871009645,17.1240836552,14.885511097342516,10.29711395230325,-4.6076285199999845,52.5
2316,1,Liverpool Football Club,-12.2368827547,-6.19051349731,20.57803239853097,5.400649664400004,-17.066985674,-52.5
2318,1,Liverpool Football Club,-19.2201416379,2.83567828224,15.714863710621103,23.068222543203138,-14.777673995000011,-52.5
2701,1,Liverpool Football Club,-24.7682612283,10.8279669171,15.19372558683125,2.039977634554899,-10.105918748000029,-52.5
2785,1,Liverpool Football Club,-11.4230712255,-15.2037017005,22.692083362036218,3.651903544585432,-9.50410359200001,-52.5
2823,1,Liverpool Football Club,-33.7803021386,19.1069208781,16.912057884949018,5.580522305933972,8.967794486000003,-52.5
2881,1,Liverpool Football Club,-7.84622519357,9.75323486328,26.009030967505332,51.10595060799869,25.103708573,-52.5
2884,1,Liverpool Football Club,-7.76918161483,10.4233900706,27.547566061604428,1.4362421361147046,19.7318141439,-52.5
2956,1,Manchester City,47.8104522342,-10.6148111707,13.70748443295551,34.92611772744287,-12.55964478300001,52.5
2961,1,Manchester City,36.9733970279,-18.6044702076,18.90138966297741,1.9145947364904927,-16.72765016700005,52.5
3024,1,Manchester City,7.809332507,-26.1952770778,14.932787957995872,12.412346536557598,-13.864539862899994,52.5
3046,1,Manchester City,3.49588070597,-26.0244240534,14.291872677167635,7.168286286039749,8.638732753800005,52.5
3059,1,Manchester City,10.1797239213,-23.651911236,9.55516991647316,7.760559545043343,-1.729487453899985,52.5
3078,1,Manchester City,6.72096517775,-31.6146759009,12.634848304728933,43.85480355947561,-5.771952153499997,52.5
3091,1,Liverpool Football Club,-6.32336484818,-1.19526253712,27.99847430974401,36.56548050335143,-3.9521017042999995,-52.5
3115,1,Liverpool Football Club,-3.86246055648,8.41832665035,10.591934036792038,3.0850197096615255,-8.383679958899997,-52.5
3172,1,Liverpool Football Club,-1.64696816036,8.3257505326,19.635412190536282,1.6779172113433987,18.24857389759999,-52.5
3341,1,Liverpool Football Club,-6.76986964544,-9.89379324232,9.199467149862231,0.18032859443528673,-7.6899787247999996,-52.5
3421,1,Liverpool Football Club,-31.8801856268,8.96252613976,14.702907334571247,6.697664350151957,-11.220097691999982,-52.5
3525,1,Liverpool Football Club,-19.0527389163,12.9491079875,22.888758571728314,8.263111870386728,16.293994666000025,-52.5
3571,1,Manchester City,10.5957734244,24.3229995001,23.50949900672143,41.70607006839988,18.448675368000007,52.5
3574,1,Manchester City,20.801388786,18.8647867839,23.611880300999214,1.1345827186094677,14.566479882999985,52.5
3638,1,Manchester City,21.1679740179,15.0523192996,10.896787445150254,24.613394105587975,-9.633240010000002,52.5
3665,1,Liverpool Football Club,-4.29752022879,10.4116643724,20.41539843650209,9.94876364312343,-18.062053013259998,-52.5
3794,1,Manchester City,2.37389066805,22.3852283837,9.421861911152053,29.410532539701403,4.554351942799997,52.5
3797,1,Manchester City,2.91907979193,23.483599799,14.633802345055837,4.72531385252756,8.746196451000001,52.5
3816,1,Manchester City,15.5122624352,30.4137023744,14.511268215258042,29.07305090463152,7.555972314999995,52.5
3832,1,Manchester City,23.0279456547,5.26121600469,13.39395244222717,9.160035125297656,3.835472409999987,52.5
4025,1,Liverpool Football Club,-47.5414305187,-25.6918347677,11.650447109593594,32.14858533043375,11.63924051900004,-52.5
4027,1,Liverpool Football Club,-47.1869971866,-25.6785909562,15.514641489096407,6.681630147855311,15.494494086999993,-52.5
4046,1,Liverpool Football Club,-32.3453817822,-25.9026648204,8.384789997560494,1.7315319894105137,4.480914824000024,-52.5
4094,1,Liverpool Football Club,-24.4461662656,-21.6412262689,8.633663652349082,22.615015620096116,-3.7900844480000018,-52.5
