frame,period,shooter_team,player_x,player_y,ball_speed_mps,accel_mps2,vel_x,vel_y,attacking_goal_x,shot_score
5661,1,Liverpool Football Club,-26.4612994875,-2.14397241814,19.217808439508676,12.280268152327315,-14.631414314513046,-12.459770317895654,-52.5,108.36931034987069
6161,1,Manchester City,28.0986196427,-1.20536486485,17.391740210853097,27.803346288560373,15.18759127700001,-8.474060347,52.5,114.76204734282587
8339,1,Manchester City,9.47385715303,10.9942749114,12.1190805905388,43.68923595115027,9.098305507000006,8.005807346000005,52.5,104.28463890384427
9798,1,Liverpool Football Club,-3.75329958825,-5.77895707176,14.411132056651644,43.860648146811705,-10.311523638699999,-10.067433009600002,-52.5,115.91630843006993
10684,1,Liverpool Football Club,-10.3559280577,-28.815175556,12.454645201635001,35.54834660792074,-10.617341197000005,6.510779753999998,-52.5,97.82157261609575
10781,1,Manchester City,10.4698406855,2.0237734999,17.205546987745247,31.395958700630207,16.366474854999993,-5.3074803785,52.5,117.42369363935644
14012,1,Manchester City,37.2121707371,25.6375209263,27.30843749290573,1.7095523425739476,24.38724433099999,12.288737617999992,52.5,138.25173980710258
17834,1,Manchester City,49.7677298046,-11.8480271839,12.147938397274787,32.62959751697439,7.728511074000011,9.372434256000002,52.5,93.36928950334833
19378,1,Liverpool Football Club,-19.895617258,4.68009812491,13.636177693861177,31.272147318083096,-8.858916908999994,-10.366529472199995,-52.5,99.45303578738898
26297,1,Liverpool Football Club,-17.2117337726,12.4371678943,12.748930009553584,4.089819816826531,-1.9155083020000063,-12.60420740599999,-52.5,67.83446986459445
28923,1,Liverpool Football Club,-6.62217437653,12.1855075473,12.444493292170975,37.034403829766404,-3.8239385190999986,-11.842419832999997,-52.5,99.25687029062128
28984,1,,-10.8836289815,2.08326295444,14.339147549461831,29.911899277852942,-11.834790394999999,8.0962268219,-52.5,101.60763702516209
40311,2,Manchester City,-50.4741419838,-29.0335333688,52.223746720411455,91.89455101548874,-41.06867088999998,32.25963410899997,-52.5,353.013284617546
40312,2,Manchester City,-50.3825616382,-29.4526606968,21.45762211838808,12.570910112230555,-16.699139562000056,13.47472763599999,-52.5,119.85902070417096
41671,2,Manchester City,-34.7980653806,-3.76014642654,14.062959966557791,26.18034187922107,-13.103089188999988,5.106456376599997,-52.5,96.49514171201004
42152,2,Manchester City,-46.3595462981,2.86508972304,19.32714250939172,19.906336694385153,-16.06762435600004,-10.741037432800002,-52.5,116.54204924134376
42807,2,Liverpool Football Club,35.4620365054,2.34539726018,14.918411452933844,21.22236855315289,12.062858665999983,8.777610214809998,52.5,95.81442581782211
46996,2,Manchester City,-28.9871955145,-24.8187278566,19.512575449780634,14.34121193025865,-14.136000568,13.450430796999981,-52.5,111.90408917916182
47199,2,Liverpool Football Club,14.5935775666,-4.63126442546,11.722201400426922,31.739812298374773,8.396073048999995,-8.180217786100004,52.5,90.35081930050939
48316,2,Manchester City,-14.4666309357,-21.6719125112,11.50866460068789,29.428355059569125,-11.017757079999999,-3.3254157360000036,-52.5,86.97167806300858
49629,2,Manchester City,-28.9325034732,-33.9699350993,15.855346310595737,46.05867781373712,-7.773109862999981,13.819217404999975,-52.5,125.33540936671581
49951,2,Liverpool Football Club,12.9041258948,17.9201725551,14.952971800120308,40.415925266647726,11.274664126999987,9.822083000999982,52.5,115.18078426724927
50034,2,Liverpool Football Club,18.2841917674,27.586149034,11.506843824718038,28.84418572460845,8.243585081999996,8.028123055999998,52.5,86.37840484819864
50192,2,Liverpool Football Club,13.8325646264,-18.6577587128,12.747981020408885,34.211682319299804,4.590166728999989,11.892913414999988,52.5,97.95158742134423
52597,2,Manchester City,-21.0074725378,8.25962779635,19.132669662646137,8.002012691955786,-2.3371089249999955,-18.989390993199997,-52.5,103.66536100518647
53255,2,Manchester City,-35.9124635969,-20.4136056446,13.974791422121108,32.03265121913103,-6.349883767000009,12.448846188999987,-52.5,101.90660832973657
57251,2,Liverpool Football Club,7.65028138012,-5.9339173351,11.194189526564235,24.410418835184956,11.037858963500007,1.8642823441000012,52.5,80.38136646800614
60801,2,Manchester City,-33.7991552807,6.97726905914,16.444969185870622,35.51448581520968,-10.976103776,-12.24590369971579,-52.5,117.73933174456279
61364,2,Liverpool Football Club,13.5898350307,27.5192326137,17.28427980412861,44.81421893893717,15.563760117999994,-7.517692421,52.5,131.2356179595802
61788,2,Manchester City,-33.2099996294,-34.0729475475,13.329124945242073,51.25035732179693,-8.685778790999947,10.110530084999994,-52.5,117.89598204800731
63048,2,Liverpool Football Club,5.04302501678,-33.6906772795,14.090489290825651,10.290197239644392,12.135855149399996,-7.159812025999983,52.5,80.74264369377264
65311,2,Liverpool Football Club,38.4696891421,3.32978952499,11.979475812721226,16.48314808100994,5.658133763999942,10.559041767899998,52.5,76.38052714461607
