frame,period,shooter_team,player_x,player_y,ball_speed_mps,accel_mps2,vel_x,vel_y,attacking_goal_x,shot_score,outcome,game_minute,game_second,ball_path
10684,1,Liverpool Football Club,-10.3559280577,-28.815175556,12.454645201635001,35.54834660792074,-10.617341197000005,6.510779753999998,-52.5,97.82157261609575,Shot,17,3,"[[-11.874114034, -27.7028409573], [-13.3166959658, -26.7495364897], [-15.1440105678, -25.8995892884], [-17.0616923571, -25.2450788629], [-18.936234367, -24.4284943696], [-20.8722414188, -23.5729253877], [-22.8697135124, -22.6783719171], [-24.3247121259, -21.2667908714], [-25.9468067685, -19.9180300123], [-27.4295313173, -18.6349422307], [-29.0617837784, -16.9583121412], [-30.7943517492, -15.0082889415], [-32.5409212035, -12.9495046554], [-34.194171606, -10.9319256555], [-35.6752474592, -9.10111977966], [-37.0175145078, -7.40101668997]]"
17834,1,Manchester City,49.7677298046,-11.8480271839,12.147938397274787,32.62959751697439,7.728511074000011,9.372434256000002,52.5,93.36928950334833,Shot,28,58,"[[50.9503845735, -10.6991432808], [51.9401337234, -9.3522203336], [52.9552931055, -7.87876657305], [53.8650891671, -6.52713223978], [54.6677858385, -5.31954429897], [55.3962143647, -4.20022430204], [56.0503747458, -3.16917224898], [56.6102031881, -2.20457955211], [56.9938770988, -1.42975072286], [57.3838631244, -0.681255747493], [57.7419234384, -0.00623645851186], [58.0560418152, 0.589532665407], [58.3262182547, 1.10605162426]]"
41671,2,Manchester City,-34.7980653806,-3.76014642654,14.062959966557791,26.18034187922107,-13.103089188999988,5.106456376599997,-52.5,96.49514171201004,Shot,52,49,"[[-36.0595348839, -3.05795630327], [-37.52962205, -2.52120548932], [-38.9440065925, -2.18603450534], [-40.5074763243, -1.51467553571], [-42.0282118758, -0.682719977851], [-43.6151255785, 0.464546503685], [-45.0914549167, 1.58935333886], [-46.3837091073, 2.3825017532], [-47.5319623329, 2.9753087036], [-48.5362145932, 3.36777419008], [-49.6444257979, 3.93756286755], [-50.6721609924, 4.38015200571], [-51.6517867022, 4.75501947948], [-52.6005245049, 5.0934344378], [-53.5092395508, 5.38016086442], [-54.3779318397, 5.61519875932]]"
42152,2,Manchester City,-46.3595462981,2.86508972304,19.32714250939172,19.906336694385153,-16.06762435600004,-10.741037432800002,-52.5,116.54204924134376,Shot,53,37,"[[-44.3708105656, 2.91587047151], [-45.9052642018, 1.78186795401], [-47.3642212228, 0.918099712249], [-48.7833707376, 0.188676796838], [-50.1627127461, -0.406400792225]]"
46996,2,Manchester City,-28.9871955145,-24.8187278566,19.512575449780634,14.34121193025865,-14.136000568,13.450430796999981,-52.5,111.90408917916182,Shot,61,41,"[[-28.4544724662, -25.1862705451], [-29.6948739039, -23.8335907333], [-30.8838111055, -22.4316109097], [-32.0043387255, -20.9839361743], [-33.0564567639, -19.4905665272], [-33.9667074606, -18.2462533754], [-34.7853453173, -16.9899406031], [-35.512962087, -15.8019105533], [-36.2745788046, -14.486580674], [-36.961925702, -13.245235022], [-37.6266880868, -11.9868406635], [-38.2247249681, -10.7672608283], [-38.7480690646, -9.63312786249], [-39.2069214675, -8.55409333623], [-39.6012821769, -7.53015724955], [-39.7332207936, -6.90540089906]]"
49629,2,Manchester City,-28.9325034732,-33.9699350993,15.855346310595737,46.05867781373712,-7.773109862999981,13.819217404999975,-52.5,125.33540936671581,Shot,66,5,"[[-29.916685534, -32.3108230048], [-31.001967528, -30.3973112953], [-31.5720206689, -28.6261591598], [-32.0828630746, -27.0290224433], [-31.9800529069, -26.3737726378], [-32.0956945006, -25.427135162], [-32.1232390108, -24.6315860985], [-32.152678958, -23.8840846463], [-32.2894403475, -23.0758833169], [-32.3225905889, -22.508752951], [-32.3237921928, -22.0695538596], [-32.2930451592, -21.7582860428], [-32.2590486045, -21.5967896666], [-32.1605441936, -21.5627589481], [-32.1716322094, -21.3610182032], [-32.1224405783, -21.2594384304]]"
61364,2,Liverpool Football Club,13.5898350307,27.5192326137,17.28427980412861,44.81421893893717,15.563760117999994,-7.517692421,52.5,131.2356179595802,Shot,85,38,"[[14.8599531424, 26.476887115], [16.7418897914, 25.5403002535], [18.7471226117, 24.273946691], [20.8048077115, 22.9789954433], [22.6197410818, 21.8079125477], [24.3122052805, 20.6814645824], [25.8822003076, 19.5996515476], [27.4272171096, 18.6921838252], [28.8336349463, 17.6276849025], [30.2071662839, 16.6722939621], [31.5052001359, 15.7149041416], [32.5180562508, 14.6337607723], [33.3644852256, 13.5845431689], [34.1251402163, 12.6842802202], [34.961596937, 12.000385725], [35.789100792, 11.4733859178]]"
