frame,period,shooter_team,player_x,player_y,ball_speed_mps,accel_mps2,vel_x,attacking_goal_x,shot_score,game_minute,game_second,ball_path
757,1,Liverpool Football Club,-35.9274043129,-22.4934790475,19.301404539235875,7.551533543199493,-11.051978738999964,-52.5,104.05855623937887,0,30,"[[-39.6879741473, -19.9830444251], [-40.6220641474, -18.6425566146], [-41.5126116095, -17.3904167378], [-42.3596165337, -16.2266247946], [-42.920949241, -15.4134426629], [-43.5711654369, -14.5182561108], [-44.1726613892, -13.7055591816], [-44.7440179534, -12.9713155879], [-45.3119519519, -12.2639525472], [-45.829787425, -11.6425640966], [-46.3142839088, -11.0822132921], [-46.7619370693, -10.5454417272], [-47.1760260362, -10.0459483409], [-47.5565508095, -9.58373313351], [-47.6058821442, -9.22469312438], [-47.6572556957, -8.9122307761]]"
1070,1,Liverpool Football Club,-38.2641167414,-15.0748462223,17.618552674290477,13.597472361839598,-6.385234820000036,-52.5,101.69023573329197,1,2,"[[-43.3969831643, -12.8909202026], [-44.0548941565, -11.5662790746], [-44.6267382429, -10.3210400886], [-45.1522286979, -9.17881663114], [-45.5238130253, -8.24298108884], [-45.9305292952, -7.29071465232], [-46.3045365848, -6.40112757234], [-46.7006297565, -5.52142839979], [-47.0591738444, -4.72274006452], [-47.3939860119, -3.98998265491], [-47.705066259, -3.32315617097], [-47.8636071883, -2.8550363205], [-47.9648253823, -2.49180605307], [-47.9735382347, -2.29962332774], [-47.9658358679, -2.15496564867], [-47.9079680629, -2.08066403545]]"
1218,1,Liverpool Football Club,-29.0561792283,5.69113134203,16.916242203456555,30.168378150605594,-1.213050236000015,-52.5,114.74958916788837,1,16,"[[-32.3966968673, 4.04000304719], [-32.644516407, 2.0482734519], [-33.0188504627, -0.247916467324], [-33.1833923303, -1.92366109018], [-33.3661336507, -3.78248361071], [-33.6900631721, -5.21749195192], [-33.8853425166, -6.80062831716], [-34.0346374436, -8.32548586598], [-34.2076424463, -9.68908046471], [-34.4047653365, -10.8860996587], [-34.5752719301, -12.0432303951], [-34.7221442851, -13.1441233831], [-34.8453824017, -14.1887786228], [-35.027569299, -15.1593683871], [-35.1498616417, -16.1123704437], [-35.2385547213, -16.8590473859]]"
1219,1,Liverpool Football Club,-29.111741293,5.48607848939,20.070877671420313,21.48948682239518,-2.478195396999965,-52.5,121.84387517949673,1,17,"[[-32.644516407, 2.0482734519], [-33.0188504627, -0.247916467324], [-33.1833923303, -1.92366109018], [-33.3661336507, -3.78248361071], [-33.6900631721, -5.21749195192], [-33.8853425166, -6.80062831716], [-34.0346374436, -8.32548586598], [-34.2076424463, -9.68908046471], [-34.4047653365, -10.8860996587], [-34.5752719301, -12.0432303951], [-34.7221442851, -13.1441233831], [-34.8453824017, -14.1887786228], [-35.027569299, -15.1593683871], [-35.1498616417, -16.1123704437], [-35.2385547213, -16.8590473859], [-35.2293006893, -17.4102824695]]"
2115,1,Manchester City,18.0052751814,26.0909337543,19.837478731427463,16.333406877251825,15.268990578000015,52.5,115.52080053438914,2,46,"[[21.6768085904, 27.2533205454], [23.0380822404, 26.0925406054], [24.3062759012, 25.0419425803], [25.4051936403, 23.9879288302], [26.3785885041, 22.9740659493], [27.2264604925, 22.0003539377], [27.9481107618, 21.0065238101], [28.6359899591, 20.092840456], [29.344109058, 19.3073304533], [29.9912857679, 18.5863745709], [30.5840593235, 17.861934709], [31.1159716868, 17.1591497523], [31.640865427, 16.5153961373], [32.1928608732, 15.9678771497], [32.756596974, 15.5038855965], [33.3320737296, 15.1234214779]]"
2316,1,Liverpool Football Club,-12.2368827547,-6.19051349731,20.57803239853097,5.400649664400004,-17.066985674,-52.5,108.29081165705485,3,6,"[[-11.980558505, -1.22311433908], [-13.68874303, 0.10100540198], [-15.1665104295, 0.635582737273], [-16.5089124727, 0.766432145687], [-17.7159491596, 0.493553627223], [-19.032605582, 0.556323094441], [-20.2637331574, 0.453389239749], [-21.4946587554, 0.594361675455], [-22.6141126273, 0.472989626384], [-23.7260078772, 0.423851436358], [-24.6889077323, 0.113336256368], [-25.5460293422, -0.263192172657], [-26.3131612808, -0.745662648065], [-26.9679805143, -1.37277793106], [-27.5104870425, -2.14453802165], [-28.3704441594, -2.24576604692]]"
2318,1,Liverpool Football Club,-19.2201416379,2.83567828224,15.714863710621103,23.068222543203138,-14.777673995000011,-52.5,101.64254109630865,3,6,"[[-15.1665104295, 0.635582737273], [-16.5089124727, 0.766432145687], [-17.7159491596, 0.493553627223], [-19.032605582, 0.556323094441], [-20.2637331574, 0.453389239749], [-21.4946587554, 0.594361675455], [-22.6141126273, 0.472989626384], [-23.7260078772, 0.423851436358], [-24.6889077323, 0.113336256368], [-25.5460293422, -0.263192172657], [-26.3131612808, -0.745662648065], [-26.9679805143, -1.37277793106], [-27.5104870425, -2.14453802165], [-28.3704441594, -2.24576604692], [-29.0918683376, -2.5568180163], [-29.7763626372, -3.00714441987]]"
2785,1,Liverpool Football Club,-11.4230712255,-15.2037017005,22.692083362036218,3.651903544585432,-9.50410359200001,-52.5,117.11232035476652,3,53,"[[-16.0746129087, -12.6332973678], [-17.0362341307, -10.6080681113], [-17.9681858428, -8.79809675666], [-18.9034111355, -7.02318359445], [-19.8414086649, -5.30760678759], [-20.782178431, -3.65136633607], [-21.599720322, -2.38814437894], [-22.3572472907, -1.30142479218], [-23.0488404358, -0.404758582893], [-23.7093810377, 0.484400382545], [-24.2360059337, 1.05562413333], [-24.8605859412, 1.9562499583], [-25.1928907681, 2.30728072556], [-25.6684697919, 3.06233101471], [-26.1438339937, 3.9126061585], [-26.6189833737, 4.85810615694]]"
3091,1,Liverpool Football Club,-6.32336484818,-1.19526253712,27.99847430974401,36.56548050335143,-3.9521017042999995,-52.5,176.5578520520715,4,24,"[[-3.67143992477, -6.45179650711], [-3.9987155209, -4.33310675672], [-4.28898413292, -2.32816819037], [-4.52098695188, -0.627042977343], [-4.70475618027, 0.715129778199], [-4.83724185542, 2.11050645508], [-4.97142866443, 3.45603244965], [-5.13259478719, 4.78437939094], [-5.30364127145, 6.07647480897], [-5.48456811722, 7.33231870376], [-5.40689638864, 8.06321658103], [-5.30039911348, 8.76333144386], [-5.16391648296, 9.36671784678], [-5.09212190922, 10.0855582277], [-4.93295644252, 10.799948931], [-4.71164676184, 11.1738162087]]"
3571,1,Manchester City,10.5957734244,24.3229995001,23.50949900672143,41.70607006839988,18.448675368000007,52.5,159.25356510200703,5,12,"[[12.7572326635, 22.3826339715], [14.524557527, 21.1180644276], [16.2194737549, 19.6485176593], [17.6761217432, 17.7901889608], [18.8108183729, 15.6894606496], [19.9595079279, 13.9067860629], [21.0950544284, 12.3167364982], [22.1259467486, 11.1156069207], [23.0811817359, 10.2758003093], [23.9607593904, 9.79731666389], [24.6311670128, 9.5980936337], [24.965078442, 9.82419812287], [25.214174698, 10.2364104609], [25.4882457851, 10.5466793009], [25.8155564153, 10.8100804154], [26.264200288, 11.2711727269]]"
3574,1,Manchester City,20.801388786,18.8647867839,23.611880300999214,1.1345827186094677,14.566479882999985,52.5,119.19398422360554,5,12,"[[17.6761217432, 17.7901889608], [18.8108183729, 15.6894606496], [19.9595079279, 13.9067860629], [21.0950544284, 12.3167364982], [22.1259467486, 11.1156069207], [23.0811817359, 10.2758003093], [23.9607593904, 9.79731666389], [24.6311670128, 9.5980936337], [24.965078442, 9.82419812287], [25.214174698, 10.2364104609], [25.4882457851, 10.5466793009], [25.8155564153, 10.8100804154], [26.264200288, 11.2711727269], [26.7839434098, 11.73944989], [27.0625156536, 12.3789722867], [27.214441054, 13.1882059366]]"
